aX,aY,aZ
-1605,1080,-579
-1605,1080,-579
-1605,1080,-579
-1605,1080,-579
-1605,1080,-579
-1658,1198,-514
-1658,1198,-514
-1658,1198,-514
-1658,1198,-514
-1658,1198,-514
-1658,1198,-514
-1828,1284,-427
-1828,1284,-427
-1828,1284,-427
-1828,1284,-427
-1828,1284,-427
-1828,1284,-427
-1955,1282,-154
-1955,1282,-154
-1955,1282,-154
-1955,1282,-154
-1955,1282,-154
-1878,1067,286
-1878,1067,286
-1878,1067,286
-1878,1067,286
-1878,1067,286
-1878,1067,286
-1401,546,265
-1401,546,265
-1401,546,265
-1401,546,265
-1401,546,265
-1401,546,265
-1401,546,265
-1401,546,265
-1401,546,265
-1401,546,265
-1401,546,265
224,-297,-371
224,-297,-371
224,-297,-371
224,-297,-371
224,-297,-371
224,-297,-371
708,-229,-317
708,-229,-317
708,-229,-317
708,-229,-317
708,-229,-317
708,-229,-317
708,-229,-317
708,-229,-317
708,-229,-317
708,-229,-317
708,-229,-317
708,-229,-317
1963,-122,-839
1963,-122,-839
1963,-122,-839
1963,-122,-839
1963,-122,-839
1963,-122,-839
2047,-509,-1119
2047,-509,-1119
2047,-509,-1119
2047,-509,-1119
2047,-509,-1119
2040,-1473,-1523
2040,-1473,-1523
2040,-1473,-1523
2040,-1473,-1523
2040,-1473,-1523
2040,-1473,-1523
2044,-2048,-1102
2044,-2048,-1102
2044,-2048,-1102
2044,-2048,-1102
2044,-2048,-1102
2044,-2048,-1102
2047,-2048,-584
2047,-2048,-584
2047,-2048,-584
2047,-2048,-584
2047,-2048,-584
2047,-2048,-584
1315,-1961,-119
1315,-1961,-119
1315,-1961,-119
1315,-1961,-119

-1318,500,-566
-1387,598,-592
-1387,598,-592
-1387,598,-592
-1387,598,-592
-1387,598,-592
-1387,598,-592
-1436,677,-630
-1436,677,-630
-1436,677,-630
-1436,677,-630
-1436,677,-630
-1436,677,-630
-1481,714,-640
-1481,714,-640
-1481,714,-640
-1481,714,-640
-1481,714,-640
-1525,673,-580
-1525,673,-580
-1525,673,-580
