aX,aY,aZ
1690,-1432,-249
1375,-1431,-339
991,-1372,-503
991,-1372,-503
991,-1372,-503
991,-1372,-503
991,-1372,-503
991,-1372,-503
991,-1372,-503
991,-1372,-503
991,-1372,-503
710,-1230,-578
710,-1230,-578
710,-1230,-578
710,-1230,-578
710,-1230,-578
710,-1230,-578
710,-1230,-578
710,-1230,-578
710,-1230,-578
710,-1230,-578
710,-1230,-578
532,-1098,-577
390,-979,-380
390,-979,-380
390,-979,-380
390,-979,-380
390,-979,-380
390,-979,-380
390,-979,-380
390,-979,-380
390,-979,-380
390,-979,-380
390,-979,-380
303,-854,-138
303,-854,-138
303,-854,-138
303,-854,-138
303,-854,-138
303,-854,-138
303,-854,-138
303,-854,-138
303,-854,-138
303,-854,-138
222,-641,46
222,-641,46
222,-641,46
95,-335,24
95,-335,24
95,-335,24
95,-335,24
95,-335,24
95,-335,24
1559,49,247
1559,49,247
1559,49,247
1559,49,247
1559,49,247
1559,49,247
1559,49,247
1559,49,247
1559,49,247
1559,49,247
1559,49,247
1559,49,247
1559,49,247
1559,49,247
1559,49,247
1559,49,247
1426,-361,35
1426,-361,35
1426,-361,35
1426,-361,35
1426,-361,35
1426,-361,35
1426,-361,35
1426,-361,35
1426,-361,35
1426,-361,35
1426,-361,35
1426,-361,35
1426,-361,35
1522,-683,152
1522,-683,152
1522,-683,152
1522,-683,152
1522,-683,152
1522,-683,152
1522,-683,152
1522,-683,152
1633,-999,292
1633,-999,292
1633,-999,292
1633,-999,292
1693,-1327,438
1693,-1327,438
1693,-1327,438
1693,-1327,438
1693,-1327,438
1693,-1327,438
1693,-1327,438
1693,-1327,438
1693,-1327,438
1693,-1327,438
1693,-1327,438
1667,-1485,373
1667,-1485,373
1667,-1485,373
1667,-1485,373
1667,-1485,373
1667,-1485,373
1667,-1485,373
1640,-1498,251
1640,-1498,251
1640,-1498,251
1640,-1498,251
1597,-1448,46
1597,-1448,46
1597,-1448,46
1597,-1448,46
1597,-1448,46
1597,-1448,46
1597,-1448,46
1597,-1448,46
1597,-1448,46
1597,-1448,46
1597,-1448,46
1597,-1448,46
1491,-1444,-151
1491,-1444,-151
1491,-1444,-151
1491,-1444,-151
1491,-1444,-151
1333,-1392,-345
1333,-1392,-345
1333,-1392,-345
1333,-1392,-345
1333,-1392,-345
1288,-1318,-528
1288,-1318,-528
1288,-1318,-528
1288,-1318,-528
1288,-1318,-528
1288,-1318,-528
1288,-1318,-528
1288,-1318,-528
1288,-1318,-528
1288,-1318,-528
1126,-1314,-470
1126,-1314,-470
1126,-1314,-470
1126,-1314,-470
1126,-1314,-470
1126,-1314,-470
977,-1219,-325
977,-1219,-325
977,-1219,-325
977,-1219,-325
923,-1051,-288
923,-1051,-288
923,-1051,-288
923,-1051,-288
923,-1051,-288
923,-1051,-288
923,-1051,-288
923,-1051,-288
923,-1051,-288
923,-1051,-288
923,-1051,-288
858,-983,-196
858,-983,-196
858,-983,-196
1479,-137,518
1479,-137,518
1479,-137,518
1479,-137,518
1479,-137,518
1479,-137,518
1479,-137,518
1479,-137,518
1479,-137,518
1479,-137,518
1479,-137,518
1479,-137,518
1479,-137,518
1635,-165,462
1635,-165,462
1635,-165,462
1736,-273,387
1736,-273,387
1736,-273,387
1736,-273,387
1736,-273,387
1736,-273,387
1736,-273,387
1736,-273,387
1736,-273,387
1709,-450,501
1709,-450,501
1709,-450,501
1709,-450,501
1709,-450,501
1709,-450,501
1709,-450,501
1709,-450,501
1709,-450,501
1709,-450,501
1709,-450,501
1709,-450,501
1748,-1126,815
1748,-1126,815
1748,-1126,815
1748,-1126,815
1748,-1126,815
1748,-1126,815
1748,-1126,815
1748,-1126,815
1748,-1126,815
1748,-1126,815
1748,-1126,815
1687,-1404,712
1687,-1404,712
1687,-1404,712
1687,-1404,712
1687,-1404,712
1687,-1404,712
1687,-1404,712
1687,-1404,712
1687,-1404,712
1687,-1404,712
1687,-1404,712
1206,-1885,109
1206,-1885,109
1206,-1885,109
1206,-1885,109
1206,-1885,109
1206,-1885,109
1206,-1885,109
1206,-1885,109
1206,-1885,109
1206,-1885,109
999,-1914,-228
999,-1914,-228
999,-1914,-228
999,-1914,-228
999,-1914,-228
999,-1914,-228
999,-1914,-228
999,-1914,-228
999,-1914,-228
999,-1914,-228
999,-1914,-228
820,-1882,-552
820,-1882,-552
820,-1882,-552
820,-1882,-552
820,-1882,-552
820,-1882,-552
820,-1882,-552
820,-1882,-552
820,-1882,-552
820,-1882,-552
820,-1882,-552
787,-1881,-469
787,-1881,-469
787,-1881,-469
787,-1881,-469
787,-1881,-469
787,-1881,-469
787,-1881,-469
787,-1881,-469
787,-1881,-469
787,-1881,-469
790,-1835,-389
710,-1801,-245
710,-1801,-245
710,-1801,-245
710,-1801,-245
710,-1801,-245
710,-1801,-245
710,-1801,-245
710,-1801,-245
710,-1801,-245
710,-1801,-245
710,-1801,-245
542,-1754,-130
542,-1754,-130
542,-1754,-130
542,-1754,-130
542,-1754,-130
542,-1754,-130
